property_id,property_id,abstract_time,total_time,size
1,1,,3600,
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,,3600,
7,7,,3600,
8,8,,3600,
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,,3600,
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,13.19369995,15.21141568,72
1,1,21.32027735,23.75762844,72
2,2,16.30641271,18.98694606,72
3,3,22.06097978,24.6744462,72
4,4,15.29078888,18.34551647,72
5,5,18.46736641,20.33605822,72
6,6,14.94332523,17.22446459,72
7,7,13.95952257,16.01495078,72
8,8,18.471844,20.12609036,72
9,9,18.69749842,21.32211482,72
10,10,13.86569572,16.39577834,72
11,11,15.44453128,18.25742592,72
12,12,16.01885252,18.33184182,72
13,13,16.8631389,18.50702928,72
14,14,17.63079352,19.92770713,72
15,15,9.89566388,11.6506744,72
16,16,16.14218434,18.64830007,72
17,17,17.88029179,20.17367805,72
18,18,14.94987491,17.15496946,72
19,19,13.35467403,15.44745258,72
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,15.09262513,1427.341667,839
2,2,,3600,
3,3,,3600,
4,4,19.83304092,1926.304578,877
5,5,,3600,
6,6,,3600,
7,7,,3600,
8,8,14.04861413,2143.327064,910
9,9,,3600,
10,10,11.7890973,3058.785573,695
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,13.19675015,3229.717077,881
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,,3600,
7,7,,3600,
8,8,,3600,
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,12.40228146,2118.531334,910
13,13,17.50945458,2543.171497,846
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,16.08900063,1745.558352,910
